RequestID,Date,Time,IP,Protocol,Method,Scale,TileRow,TileColumn,URI,Status,Bytes,TimeTaken,Referer,UserAgent,Cookie,DateNumber
8762,9/3/2013,39:57.0,-,0,0,18,99135,77162,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/99135/77162,200,22333,9,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.4506.2152; AskTbORJ/5.15.23.36191),-,3
8763,9/3/2013,39:57.0,-,0,0,15,12311,9651,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12311/9651,200,13723,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8764,9/3/2013,39:57.0,-,0,0,15,12311,9650,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12311/9650,200,26902,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8765,9/3/2013,39:56.0,-,0,0,13,2953,4947,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/13/2953/4947,200,19166,0,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727),-,3
8766,9/3/2013,39:57.0,-,0,0,17,46294,23994,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/17/46294/23994,200,23494,12,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0),-,3
8767,9/3/2013,39:57.0,-,0,0,17,46294,23995,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/17/46294/23995,200,23573,1,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0),-,3
8768,9/3/2013,39:57.0,-,0,0,17,42026,78038,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/17/42026/78038,200,23768,0,-,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,-,3
8769,9/3/2013,39:57.0,-,0,0,17,42026,78036,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/17/42026/78036,200,21336,1,-,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16,-,3
8770,9/3/2013,39:57.0,-,0,0,16,21481,40886,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/21481/40886,200,15198,0,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727),-,3
8771,9/3/2013,39:57.0,-,0,0,19,164420,317009,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/19/164420/317009,200,2821,0,-,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
